#,שם העסק,תחום,אחוז/גובה ההטבה,ערים לפי הקובץ,פרסומת קצרה ומקצועית,אתר רשמי,כתובת + טלפון שאומתו,סטטוס אימות
14,אופטימלי - בית שמש,אופטיקה,15% הנחה,בית שמש,"מבחר מסגרות, משקפי ראייה/שמש ועדשות, עם אפשרויות שמתאימות למגוון צרכים וסגנונות. שווה לבדוק את ההיצע לפני הרכישה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
15,אופטימלי - מלכי ישראל,אופטיקה,מסגרות 300 ₪ ב-270; עד 500 ₪ ב-320; מעל 500 ₪ – 15%,ירושלים,"מבחר מסגרות, משקפי ראייה/שמש ועדשות, עם אפשרויות שמתאימות למגוון צרכים וסגנונות. שווה לבדוק את ההיצע לפני הרכישה.",https://optimali.ravpage.co.il/,"מלכי ישראל 6, ירושלים — 076-8617529",מאומת/נמצא
16,אופטיקה סיגנר,אופטיקה,20% הנחה,בני ברק,"מבחר מסגרות, משקפי ראייה/שמש ועדשות, עם אפשרויות שמתאימות למגוון צרכים וסגנונות. שווה לבדוק את ההיצע לפני הרכישה.",,"רבי עקיבא 113, בני ברק — 03-9791900",מאומת/נמצא
17,אורדמן - חלוקים,ביגוד נשים,15% כולל כפל,"אלעד, בית שמש","מבחר פריטי אופנה לנשים, עם דגמים שמתאימים למלתחה היומיומית ולאירועים. מקום שכדאי לבדוק לפני רכישה.",https://www.ordman.co.il/,"רבי יהודה הנשיא 100, אלעד — 1-700-501039",מאומת/נמצא
18,אקסוס - אלעד,ביגוד גברים,"הנחות ת""ת כללי",אלעד,"מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
19,אקסוס - ביתר,ביגוד גברים,"מחירון מוזל תת""ים לפי פריטים",ביתר,"מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
20,אקסוס - בני ברק,ביגוד גברים,"מחירון ת""תים כללי",בני ברק,"מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",https://xsosshirts.co.il/,"רבי עקיבא 51, בני ברק — 03-5785773",מאומת/נמצא
21,אקסוס יחזקאל,ביגוד גברים,"מחירון ת""תים",ירושלים,"מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
22,אקסוס רב שפע,ביגוד גברים,"מחירון ת""תים",ירושלים,"מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
23,ארבעת המינים - גדות כינרת רוטנברג,ארבעת המינים,15% בכל רכישה,"בני ברק, מודיעין עילית","מבחר ארבעת המינים, עם אפשרות לבחור את המוצר המתאים וליהנות מהטבה משמעותית במסגרת ההסדר.",,"שלמה המלך 18, בני ברק — 052-6550605",מאומת/נמצא
24,בגיר,ביגוד גברים,5% בכל קנייה כולל כפל מבצעים,"אשדוד, בני ברק","מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",https://bagir-il.com/,"ירושלים: כנפי נשרים 5 — 02-5877876; עמוס 10 — 02-6242884. בני ברק: כהנמן 72 — 03-5744011; רבי עקיבא 55 — 03-6549089. אשדוד: הגדוד העברי 16 — 08-6909202. גבעתיים: קניון גבעתיים, קומה 2 — 03-7329398. פתח תקווה: ז'בוטינסקי 61, מגדלי בסר — 03-5709675",מאומת/נמצא
25,בזאר שטראוס - אלעד,כללי,5% בתשלום בכסף הטעון בכרטיס,אלעד,"מבחר מוצרים לצריכה שוטפת ולבית, עם אפשרות לנצל את ההטבה בקנייה במסגרת ההסדר.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
26,בזאר שטראוס - אשדוד,כללי,5% בתשלום באמצעות הכרטיס,אשדוד,"מבחר מוצרים לצריכה שוטפת ולבית, עם אפשרות לנצל את ההטבה בקנייה במסגרת ההסדר.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
27,בזאר שטראוס - בית שמש,כללי,5% בתשלום באמצעות כסף טעון,בית שמש,"מבחר מוצרים לצריכה שוטפת ולבית, עם אפשרות לנצל את ההטבה בקנייה במסגרת ההסדר.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
28,בזאר שטראוס - ביתר,כללי,5% בתשלום בכסף הטעון בכרטיס,ביתר עילית,"מבחר מוצרים לצריכה שוטפת ולבית, עם אפשרות לנצל את ההטבה בקנייה במסגרת ההסדר.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
29,בזאר שטראוס - בני ברק,כללי,5% בתשלום בכסף הטעון בכרטיס,בני ברק,"מבחר מוצרים לצריכה שוטפת ולבית, עם אפשרות לנצל את ההטבה בקנייה במסגרת ההסדר.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
30,בזאר שטראוס - גאולה,כללי,5% בתשלום באמצעות הכרטיס,ירושלים,"מבחר מוצרים לצריכה שוטפת ולבית, עם אפשרות לנצל את ההטבה בקנייה במסגרת ההסדר.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
31,בזאר שטראוס - גבעת שאול,כללי,5% בתשלום באמצעות הכרטיס,ירושלים,"מבחר מוצרים לצריכה שוטפת ולבית, עם אפשרות לנצל את ההטבה בקנייה במסגרת ההסדר.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
32,בזאר שטראוס - מודיעין עילית,כללי,5% בתשלום באמצעות כסף טעון,מודיעין עילית,"מבחר מוצרים לצריכה שוטפת ולבית, עם אפשרות לנצל את ההטבה בקנייה במסגרת ההסדר.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
33,בזאר שטראוס - פסגת זאב,כללי,5% בתשלום באמצעות כסף טעון,פסגת זאב,"מבחר מוצרים לצריכה שוטפת ולבית, עם אפשרות לנצל את ההטבה בקנייה במסגרת ההסדר.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
34,בזאר שטראוס - קניון רמות,כללי / צעצועים,5% בתשלום באמצעות כסף טעון,ירושלים,"מבחר מוצרים לצריכה שוטפת ולבית, עם אפשרות לנצל את ההטבה בקנייה במסגרת ההסדר.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
35,בזאר שטראוס - קרית אתא,כללי,5% בתשלום באמצעות הכרטיס,קריית אתא,"מבחר מוצרים לצריכה שוטפת ולבית, עם אפשרות לנצל את ההטבה בקנייה במסגרת ההסדר.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
36,בזאר שטראוס - שטראוס (ירושלים),כללי,5% בתשלום בכסף הטעון בכרטיס,ירושלים,"מבחר מוצרים לצריכה שוטפת ולבית, עם אפשרות לנצל את ההטבה בקנייה במסגרת ההסדר.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
37,בזאר שטראוס קניון רמות,ביגוד,5% בתשלום באמצעות כסף טעון,ירושלים,"מבחר מוצרים לצריכה שוטפת ולבית, עם אפשרות לנצל את ההטבה בקנייה במסגרת ההסדר.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
38,בלאן,ביגוד גברים,150 ₪ הנחה לחליפה; 30 ₪ הנחה למכנס,"אלעד, ירושלים","מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
39,בלאן - בני ברק,ביגוד גברים,150 ₪ הנחה לחליפה; 30 ₪ הנחה למכנס,בני ברק,"מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
40,בלייזר חליפות,ביגוד גברים,15% על כל החנות למעט חולצות; חולצות 10%,בני ברק,"מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,"רבי עקיבא 135, בני ברק — 03-6162255",מאומת/נמצא
41,ברודווי הלבשה חסידית,ביגוד חסידי,"הנחה משתנה לפי מחלקה; 7%-10% בשאר השנה, ובמחלקות מסוימות יותר","אשדוד, בית שמש","מבחר לבוש חסידי ופריטי אופנה בהתאם למחלקות החנות, עם מדרגות הנחה שונות במסגרת ההסדר.",https://xtra.co.il/pages/brand/broadway-haredi-fashion,"ירמיהו 24, ירושלים — 1-599-599-123",מאומת/נמצא
42,ברון,כובעים,"מחירי כובעים מיוחדים לפי דגם, כמפורט בהסדר","בית שמש, בני ברק","מבחר כובעים בסגנונות קלאסיים ומעודכנים, עם דגש על התאמה נכונה למראה ולשימוש. ההטבה הופכת את הקנייה לכדאית במיוחד.",https://baronhats.co.il/,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
43,ברטון חליפות,ביגוד גברים,10% על כל החליפות + צבירת נקודות,בני ברק,"מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
44,ג'יבאני,ביגוד גברים,250 ₪ הנחה בקניית חליפה,"בני ברק, ירושלים","מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,"יעקב מאיר 6, ירושלים — 02-5386776",מאומת/נמצא
45,"גלורי קידס בע""מ",בגדי ילדים,7% כולל כפל מבצעים ומימוש מועדון,"אשדוד, בית שמש","מבחר אופנתי לילדים, עם פריטים שימושיים ומגוון לבחירה. ההטבה מוסיפה ערך לקנייה המשפחתית.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
46,גרביים עד הבית,בגדי ילדים,8% כולל כפל מבצעים ונקודות; בכסף טעון בלבד,"אלעד, אשדוד","מבחר אופנתי לילדים, עם פריטים שימושיים ומגוון לבחירה. ההטבה מוסיפה ערך לקנייה המשפחתית.",https://sockstohome.co.il/,"שדרות גולדה מאיר 255, ירושלים — 1-599-515-505",מאומת/נמצא
47,גרונר שעונים,תכשיטים ושעונים,10% הנחה,בית שמש,"מבחר תכשיטים ושעונים בסגנונות שונים, מתאים למי שמחפש פריט שימושי או מתנה. כדאי לבדוק את ההטבה לפני הרכישה.",,"אביי 11, בית שמש — 02-5860374",מאומת/נמצא
48,דובי יגר שליחויות,אחר,10% הנחה לכל משלוח,לא צוין,"שירות מקצועי בתחום העסק, עם הטבה ייעודית לחברי המועדון. כדאי לבדוק את התנאים לפני הזמנה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
49,דפוס SOS,אחר,5%-15%; 10% בהדפסת הזמנות,בני ברק,"שירות מקצועי בתחום העסק, עם הטבה ייעודית לחברי המועדון. כדאי לבדוק את התנאים לפני הזמנה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
50,האטסטון - חידוש וייצור כובעים,כובעים,חידוש מלא לכובע כולל קיצור והנמכה – 10% בבין הזמנים,בני ברק,"מבחר כובעים בסגנונות קלאסיים ומעודכנים, עם דגש על התאמה נכונה למראה ולשימוש. ההטבה הופכת את הקנייה לכדאית במיוחד.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
51,המכירה לקהילה שלך,מזון,5% בתשלום בכסף טעון + צבירת נקודות,בני ברק,"מבחר מוצרי מזון וקניות שוטפות במקום נוח, עם יתרון משמעותי ברכישה במסגרת ההטבה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
52,המעדניה ליזרוביץ,מזון,10% עד 100 ₪; מעל 100 ₪ – 20% + צבירת נקודות,ירושלים,"מבחר מוצרי מזון וקניות שוטפות במקום נוח, עם יתרון משמעותי ברכישה במסגרת ההטבה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
53,המשקף,אופטיקה,20% הנחה,בני ברק,"מבחר מסגרות, משקפי ראייה/שמש ועדשות, עם אפשרויות שמתאימות למגוון צרכים וסגנונות. שווה לבדוק את ההיצע לפני הרכישה.",,"אלישע 6, בני ברק — 054-8420055",מאומת/נמצא
54,ויסטה - ירושלים,אופטיקה,"מסגרות/עדשות ומותגים בתנאים המפורטים; מותגים 10%, עדשות 10%",ירושלים,"מבחר מסגרות, משקפי ראייה/שמש ועדשות, עם אפשרויות שמתאימות למגוון צרכים וסגנונות. שווה לבדוק את ההיצע לפני הרכישה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
55,חולצות ניו יורק,ביגוד גברים,"מחירי הטבה למגוון חולצות, מכנסיים ואביזרים; חלק מהפריטים 5%-10%",בני ברק,"מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
56,חליפות מילאנו ירושלים,ביגוד גברים,"מחירי הטבה לחליפות ואביזרים, כולל חליפת חתנים פרמיום ב-950 ₪ במקום 1300",ירושלים,"מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
57,חמדת הארץ,מזון,4% בכל קנייה,"בית שמש, ירושלים","מבחר מוצרי מזון וקניות שוטפות במקום נוח, עם יתרון משמעותי ברכישה במסגרת ההטבה.",,"שדרות רבי יהודה הנשיא 15, בית שמש — 02-6452070",מאומת/נמצא
58,טיימינג שעונים,תכשיטים ושעונים,8% על כל החנות והאתר מהמחיר הסופי,פתח תקווה,"מבחר תכשיטים ושעונים בסגנונות שונים, מתאים למי שמחפש פריט שימושי או מתנה. כדאי לבדוק את ההטבה לפני הרכישה.",,"אנה פרנק 7, פתח תקווה (בהגעה בתיאום מראש) — 055-7200564",מאומת/נמצא
59,טמבור פלוס,קרמיקה תאורה וכלי בית,7% על כל מוצרי החנות,בית שמש,מבחר פריטים לבית – מקרמיקה וכלי בית ועד תאורה – במקום אחד. מתאים למי שמעדכן או משדרג את הבית ורוצה לנצל את ההטבה.,,"שדרות נהר הירדן 50, בית שמש — 02-9995600",מאומת/נמצא
60,כובעי פוקס,כובעים,70 ₪ הנחה לכובע,"בית שמש, בני ברק","מבחר כובעים בסגנונות קלאסיים ומעודכנים, עם דגש על התאמה נכונה למראה ולשימוש. ההטבה הופכת את הקנייה לכדאית במיוחד.",,"רש""י 12, בני ברק — 03-5790970",מאומת/נמצא
61,כשר פון,אלקטרוניק וסלולר,עד 300 ₪ – 10%; מעל 300 ₪ – 7%,בני ברק,"מבחר מוצרי סלולר ואלקטרוניקה לשימוש יומיומי, עם פתרונות פרקטיים ומגוון אפשרויות. ההטבה מוסיפה כדאיות לקנייה.",,"רבי עקיבא 88, בני ברק — 052-7177177",מאומת/נמצא
62,לוסו (LUSSO) בגדי יוקרה,לתינוקות ופעוטות,10% כולל כפל נקודות; עד פסח,בני ברק,"מבחר פריטי לבוש לתינוקות ופעוטות, עם דגש על מגוון ונוחות. ההטבה הופכת את הקנייה לכדאית יותר.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
63,לוקסמן,ביגוד גברים,7%,רכסים,"מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
64,לורנס - קרית יערים,ביגוד גברים,מחירי הטבה לפריטים רבים; נעליים 7% ומחירים מיוחדים למוצרים,קרית יערים,"מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
65,לורנס פריז - צפת,ביגוד גברים,20% על חליפות; 10% על שאר המוצרים; בתקופת מבצעים 5%,צפת,"מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
66,לטס גו,נעליים,10%,בני ברק,"מבחר נעליים במגוון דגמים, עם אפשרויות שמתאימות לשימוש יומיומי ולאירועים. ההטבה הופכת את הקנייה לאטרקטיבית יותר.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
67,ליבוביץ,ביגוד גברים,5% כולל כפל מבצעים,"אלעד, אשדוד","מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
68,ליברו - שדרת הבשמים,בשמים,"10% בכל רכישה, לא כולל בשמי מותגים","בני ברק, רמת גן","מבחר בשמים ומוצרי ריח, עם מגוון אפשרויות לבחירה. ההטבה מעניקה יתרון נוסף בקנייה השוטפת.",,"ביאליק 61, רמת גן — 050-3035419",מאומת/נמצא
69,לידר,בגדי ילדים,תשלום בכסף טעון מארגונים בלבד + צבירת נקודות,"אופקים, אור יהודה","מבחר אופנתי לילדים, עם פריטים שימושיים ומגוון לבחירה. ההטבה מוסיפה ערך לקנייה המשפחתית.",,"מלכי ישראל 18, ירושלים — 1-599-545-556",מאומת/נמצא
70,לייביש טשונט,מזון,15%,בני ברק,"מבחר מוצרי מזון וקניות שוטפות במקום נוח, עם יתרון משמעותי ברכישה במסגרת ההטבה.",,"רבי טרפון 4, בני ברק — 03-6701244",מאומת/נמצא
71,ליל שישי בגג,מזון,10 ₪ הנחה על כל קנייה של 50 ₪ + צבירת נקודות,בני ברק,"מבחר מוצרי מזון וקניות שוטפות במקום נוח, עם יתרון משמעותי ברכישה במסגרת ההטבה.",,"הרב אהרונסון 16, בני ברק — 055-6846843",מאומת/נמצא
72,מאפיית קציר חיטים,מזון,10% מעל הסכום המפורט בהסדר + כפל מבצעים וצבירת נקודות,"בני ברק, פתח תקווה","מבחר מוצרי מזון וקניות שוטפות במקום נוח, עם יתרון משמעותי ברכישה במסגרת ההטבה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
73,מחסני קרעסטיר,מזון,4%,בני ברק,"מבחר מוצרי מזון וקניות שוטפות במקום נוח, עם יתרון משמעותי ברכישה במסגרת ההטבה.",,"בר יוחאי 9, בני ברק — 03-8051117",מאומת/נמצא
74,מטאל - סלולר כשר,אלקטרוניק וסלולר,"12% על מכשיר 4V החדש; קוד קופון ""קהילות"" באתר",ירושלים,"מבחר מוצרי סלולר ואלקטרוניקה לשימוש יומיומי, עם פתרונות פרקטיים ומגוון אפשרויות. ההטבה מוסיפה כדאיות לקנייה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
75,מילאנו אופטיק,אופטיקה,15% בקנייה מעל 600 ₪; 10% עד 600 ₪,ירושלים,"מבחר מסגרות, משקפי ראייה/שמש ועדשות, עם אפשרויות שמתאימות למגוון צרכים וסגנונות. שווה לבדוק את ההיצע לפני הרכישה.",,"שדרות גולדה מאיר 255, ירושלים — 02-5367755",מאומת/נמצא
76,מקימי,ביגוד נשים,15% כולל כפל מבצעים ומימוש נקודות; בכסף טעון בלבד,"אשדוד, בית שמש","מבחר פריטי אופנה לנשים, עם דגמים שמתאימים למלתחה היומיומית ולאירועים. מקום שכדאי לבדוק לפני רכישה.",,"רבי עקיבא 11, בני ברק — 03-5781836",מאומת/נמצא
77,מרכז התתים,ביגוד גברים,5% בכל קנייה; בכסף טעון בלבד,בני ברק,"מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,"רבי עקיבא 80, בני ברק — 03-5523340",מאומת/נמצא
78,משביר לעמו,מזון,3% בכל קנייה,בני ברק,"מבחר מוצרי מזון וקניות שוטפות במקום נוח, עם יתרון משמעותי ברכישה במסגרת ההטבה.",,"אברבנאל 101, בני ברק — טלפון לא הוצג במקור המאומת",מאומת/נמצא
79,משכן התכלת,תשמישי קדושה,8% בכל רכישה; באמצעות מערכת מולטיפס,"אלעד, אשקלון","מבחר תשמישי קדושה ופריטים נלווים, עם דגש על בחירה מכובדת ומעשית. ההטבה מאפשרת לחסוך ברכישה.",https://mishkan-hatchelet.co.il/,"מלכי ישראל 26, ירושלים — 02-5021262",מאומת/נמצא
